"date","NYT_dailySD","CD_dailySD","CNBC_dailySD","NYT_MSS","CD_MSS","CNBC_MSS","NYT_length","CD_length","CNBC_length","n_NYT_articles","n_CD_articles","n_CNBC_articles"
2013-05-20,NA,1.04481423794756,NA,NA,2.14268317416501,NA,NA,9343,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,0.645067991180276,NA,NA,11706,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,-0.247330888852408,NA,NA,3734,6276,0,1,9
2013-05-20,NA,1.04481423794756,NA,NA,0.105490451679395,NA,NA,4245,6276,0,1,9
2013-05-21,NA,0.891365841984832,NA,NA,1.2175979780772,NA,NA,4436,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,-0.639520839221554,NA,NA,2419,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,1.28315136445205,NA,NA,9849,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,-1.03607663479134,NA,NA,2113,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,0.179101795995772,NA,NA,4467,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,0.164568156056262,NA,NA,3363,NA,0,0,7
2013-05-21,NA,0.891365841984832,NA,NA,0.809872097489781,NA,NA,4406,NA,0,0,7
2013-05-22,NA,1.10795430157078,NA,NA,-0.826719161856839,NA,NA,2898,NA,0,0,6
2013-05-22,NA,1.10795430157078,NA,NA,-1.23203582706768,NA,NA,2234,NA,0,0,6
2013-05-22,NA,1.10795430157078,NA,NA,1.55953203809172,NA,NA,4457,NA,0,0,6
2013-05-22,NA,1.10795430157078,NA,NA,-0.0768541641533379,NA,NA,2949,NA,0,0,6
2013-05-22,NA,1.10795430157078,NA,NA,0.718546757017821,NA,NA,5759,NA,0,0,6
2013-05-22,NA,1.10795430157078,NA,NA,1.11632120741537,NA,NA,8663,NA,0,0,6
2013-05-23,NA,0.893628682710863,NA,NA,0.442879389534209,NA,NA,4735,NA,0,0,5
2013-05-23,NA,0.893628682710863,NA,NA,1.82646595704169,NA,NA,7413,NA,0,0,5
2013-05-23,NA,0.893628682710863,NA,NA,0.222766230436145,NA,NA,3348,NA,0,0,5
2013-05-23,NA,0.893628682710863,NA,NA,-0.47927491324095,NA,NA,2492,NA,0,0,5
2013-05-23,NA,0.893628682710863,NA,NA,1.20652050100201,NA,NA,4730,NA,0,0,5
2013-05-24,NA,0.872940288663976,NA,NA,0.569766235019491,NA,NA,3335,NA,0,0,5
2013-05-24,NA,0.872940288663976,NA,NA,-0.393834311777483,NA,NA,2837,NA,0,0,5
2013-05-24,NA,0.872940288663976,NA,NA,1.67609753322375,NA,NA,7737,NA,0,0,5
2013-05-24,NA,0.872940288663976,NA,NA,0.643729591798157,NA,NA,6641,NA,0,0,5
2013-05-24,NA,0.872940288663976,NA,NA,1.68570276593142,NA,NA,8661,NA,0,0,5
2013-05-27,NA,0.395804506487654,NA,NA,0.527473879443394,NA,NA,5244,NA,0,0,2
2013-05-27,NA,0.395804506487654,NA,NA,1.08722598056662,NA,NA,12079,NA,0,0,2
2013-05-28,NA,1.58877432781426,NA,NA,-1.56139172492027,NA,NA,1873,NA,0,0,6
2013-05-28,NA,1.58877432781426,NA,NA,-0.121506112422415,NA,NA,2835,NA,0,0,6
2013-05-28,NA,1.58877432781426,NA,NA,-1.13267999091967,NA,NA,2263,NA,0,0,6
2013-05-28,NA,1.58877432781426,NA,NA,2.37100059176765,NA,NA,7112,NA,0,0,6
2013-05-28,NA,1.58877432781426,NA,NA,-1.88885783631989,NA,NA,2286,NA,0,0,6
2013-05-28,NA,1.58877432781426,NA,NA,0.503820248835943,NA,NA,7207,NA,0,0,6
2013-05-29,NA,0.739895644280332,NA,1.92480706429531,-0.166038430302756,NA,2411,2997,NA,1,0,6
2013-05-29,NA,0.739895644280332,NA,NA,0.410139036397504,NA,2411,2931,NA,1,0,6
2013-05-29,NA,0.739895644280332,NA,NA,0.541142119637447,NA,2411,7733,NA,1,0,6
2013-05-29,NA,0.739895644280332,NA,NA,-1.12836146410301,NA,2411,2203,NA,1,0,6
2013-05-29,NA,0.739895644280332,NA,NA,0.0105331727144931,NA,2411,3067,NA,1,0,6
2013-05-29,NA,0.739895644280332,NA,NA,1.02751524247509,NA,2411,6451,NA,1,0,6
2013-05-30,NA,0.698479527535167,NA,1.0992332813137,-0.170351650365422,0.251790175500111,2256,3230,3804,1,1,4
2013-05-30,NA,0.698479527535167,NA,NA,0.364776903474382,NA,2256,2710,3804,1,1,4
2013-05-30,NA,0.698479527535167,NA,NA,1.28901234596427,NA,2256,3024,3804,1,1,4
2013-05-30,NA,0.698479527535167,NA,NA,1.20018479061857,NA,2256,7703,3804,1,1,4
2013-05-31,NA,1.02243650689054,NA,NA,-0.499627854666666,NA,NA,2673,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,-0.589962838272405,NA,NA,5585,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,-0.208174013979814,NA,NA,4549,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,0.356116035599859,NA,NA,3175,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,-0.45045627795173,NA,NA,2829,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,-0.453836942402721,NA,NA,2657,NA,0,0,7
2013-05-31,NA,1.02243650689054,NA,NA,2.26282291689652,NA,NA,8748,NA,0,0,7
2013-06-01,NA,NA,NA,NA,-0.864355612081828,NA,NA,3305,NA,0,0,1
2013-06-02,NA,0.709962604760664,NA,NA,-1.15392384667228,-0.168071226921655,NA,3004,6233,0,1,2
2013-06-02,NA,0.709962604760664,NA,NA,-0.149885102242019,NA,NA,4940,6233,0,1,2
2013-06-03,NA,0.739420344069646,NA,NA,1.28176712954299,NA,NA,7742,NA,0,0,6
2013-06-03,NA,0.739420344069646,NA,NA,-0.313631805259786,NA,NA,6493,NA,0,0,6
2013-06-03,NA,0.739420344069646,NA,NA,-0.494585581268189,NA,NA,3376,NA,0,0,6
2013-06-03,NA,0.739420344069646,NA,NA,0.937796671286231,NA,NA,7556,NA,0,0,6
2013-06-03,NA,0.739420344069646,NA,NA,-0.294565381260455,NA,NA,3125,NA,0,0,6
2013-06-03,NA,0.739420344069646,NA,NA,0.41627295522434,NA,NA,2992,NA,0,0,6
